Producto;Variedad;Precio MAX;Precio AVG;Precio MIN;Precio Tottus
Aji Fresco;Aji Escabeche Fresco; S/.3.30 ; S/.3.13 ; S/.3.00 ;7.79
Aji Fresco;Aji Montaña; S/.5.00 ; S/.4.38 ; S/.4.00 ;
Aji Fresco;Aji Rocoto; S/.5.00 ; S/.4.86 ; S/.4.72 ;10.99
Aji Seco;Aji Amarillo Seco; S/.11.00 ; S/.10.25 ; S/.10.00 ;
Aji Seco;Aji Paprika; S/.9.00 ; S/.8.50 ; S/.8.00 ;
Aji Seco;Aji Seco Panca; S/.9.00 ; S/.8.50 ; S/.8.00 ;
Ajo;Ajo Criollo O Napuri; S/.3.50 ; S/.3.25 ; S/.3.00 ;
Ajo;Ajo Morado; S/.5.00 ; S/.4.70 ; S/.4.50 ;
Alcachofa;Alcachofa; S/.4.50 ; S/.3.75 ; S/.3.00 ;
Apio;Apio; S/.1.17 ; S/.1.00 ; S/.0.83 ;
Arveja Grano Verde;Arveja Verde Americana; S/.3.50 ; S/.3.25 ; S/.3.00 ;
Arveja Grano Verde;Arveja Verde Blanca Serrana; S/.3.00 ; S/.2.73 ; S/.2.50 ;
Beterraga;Beterraga; S/.1.07 ; S/.0.91 ; S/.0.67 ;
Camote;Camote Amarillo; S/.1.10 ; S/.1.00 ; S/.0.90 ;
Camote;Camote Morado; S/.1.10 ; S/.1.03 ; S/.0.90 ;
Cebolla;Cebolla Cabeza Blanca; S/.1.10 ; S/.1.00 ; S/.0.90 ;
Cebolla;Cebolla Cabeza Roja; S/.0.60 ; S/.0.50 ; S/.0.40 ;
Cebolla;Cebolla China; S/.3.50 ; S/.3.13 ; S/.3.00 ;
Chirimoya;Chirimoya Criolla O Huayco; S/.4.50 ; S/.4.45 ; S/.4.40 ;
Chirimoya;Chirimoya Cumbe; S/.4.80 ; S/.4.70 ; S/.4.60 ;
Choclo;Choclo Tipo Cusco; S/.2.62 ; S/.2.50 ; S/.2.38 ;
Ciruela;Ciruela Nectarina ( Importada); S/.6.00 ; S/.5.85 ; S/.5.70 ;
Culantro;Culantro; S/.1.67 ; S/.1.42 ; S/.1.33 ;
Esparrago;Esparrago Fresco; S/.7.00 ; S/.5.76 ; S/.5.00 ;
Espinaca;Espinaca; S/.2.00 ; S/.1.70 ; S/.1.50 ;
Fresa;Fresa Aroma; S/.2.10 ; S/.2.05 ; S/.2.00 ;
Fresa;Fresa San Andreas; S/.2.20 ; S/.2.08 ; S/.2.00 ;
Frijol Grano Verde;Frijol Verde Canario; S/.2.20 ; S/.2.00 ; S/.1.80 ;
Granadilla;Granadilla ( Costa); S/.2.88 ; S/.2.78 ; S/.2.63 ;
Granadilla;Granadilla ( Selva); S/.2.00 ; S/.1.92 ; S/.1.85 ;
Guanabana;Guanabana ( Costa); S/.5.60 ; S/.5.55 ; S/.5.50 ;
Guanabana;Guanabana ( Selva); S/.5.80 ; S/.5.75 ; S/.5.70 ;
Haba Grano Verde;Haba Verde Serrana; S/.1.60 ; S/.1.53 ; S/.1.40 ;
Hortalizas Chinas;Brocoli; S/.2.00 ; S/.1.70 ; S/.1.50 ;
Hortalizas Chinas;Col China / Longapa; S/.4.00 ; S/.3.81 ; S/.3.75 ;
Hortalizas Chinas;Frejolito Chino; S/.1.50 ; S/.1.50 ; S/.1.50 ;
Hortalizas Chinas;Holantau / Organica; S/.6.00 ; S/.5.50 ; S/.5.00 ;
Hortalizas Chinas;Kion; S/.3.50 ; S/.3.13 ; S/.2.50 ;
Hortalizas Chinas;Pacchoy; S/.5.00 ; S/.4.58 ; S/.4.17 ;
Lechuga;Lechuga Americana; S/.1.17 ; S/.1.00 ; S/.0.83 ;
Lechuga;Lechuga Criolla Seda; S/.2.33 ; S/.2.08 ; S/.1.67 ;
Lechuga;Lechuga Romana Hidroponica; S/.1.00 ; S/.0.92 ; S/.0.83 ;
Limon;Limon Sutil Bolsa; S/.1.22 ; S/.1.17 ; S/.1.11 ;
Limon;Limon Sutil Cajon; S/.1.52 ; S/.1.41 ; S/.1.30 ;
Maiz Seco;Maiz Marlo / Coronta De Maiz; S/.11.00 ; S/.9.75 ; S/.9.00 ;
Maiz Seco;Maiz Morado; S/.1.70 ; S/.1.60 ; S/.1.50 ;
Mandarina;Mandarina Kori; S/.1.50 ; S/.1.45 ; S/.1.40 ;
Mandarina;Mandarina Malvacea; S/.1.60 ; S/.1.50 ; S/.1.40 ;
Mandarina;Mandarina Rio De Oro; S/.1.90 ; S/.1.85 ; S/.1.80 ;
Mandarina;Mandarina Satsuma; S/.2.00 ; S/.1.95 ; S/.1.90 ;
Mandarina;Mandarina Tangerina; S/.1.00 ; S/.0.94 ; S/.0.88 ;
Mango;Mango Criollo; S/.3.50 ; S/.3.45 ; S/.3.40 ;
Mango;Mango Edward; S/.1.59 ; S/.1.51 ; S/.1.47 ;
Mango;Mango Haden / Hayde; S/.1.80 ; S/.1.75 ; S/.1.70 ;
Manzana;Manzana Cte / Para Agua; S/.1.14 ; S/.1.07 ; S/.1.00 ;
Manzana;Manzana Delicia; S/.2.21 ; S/.2.16 ; S/.2.13 ;
Manzana;Manzana Golden; S/.2.40 ; S/.2.35 ; S/.2.30 ;
Manzana;Manzana Importada; S/.4.75 ; S/.4.63 ; S/.4.50 ;
Manzana;Manzana Israel; S/.1.60 ; S/.1.55 ; S/.1.50 ;
