web-scraper-order,web-scraper-start-url,category_link,category_link-href,subcategory_link,subcategory_link-href,product_link,product_link-href,name,entero,decimal
"1572320329-214","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Brócoli, Coliflor y Alcachofa (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/brocoli-coliflor-y-alcachofa?PS=24","Alcachofa x unidad","https://www.plazavea.com.pe/alcachofa-x-unidad/p","Alcachofa x unidad","1",".99"
"1572320668-274","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Manzanas, Peras y Membrillos (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/manzanas-peras-y-membrillos?PS=24","Membrillo","https://www.plazavea.com.pe/membrillo/p","Membrillo","7",".99"
"1572319899-134","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Verdura Picada para Menestrón LA FLORENCIA Bandeja 500g","https://www.plazavea.com.pe/verdura-picada-para-menestron-la-florencia-bandeja-500g/p","Verdura Picada para Menestrón LA FLORENCIA Bandeja 500g","8",".90"
"1572320555-256","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Maracuyá, Granadilla y Tumbo (3)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/maracuya-granadilla-y-tumbo?PS=24","Granadilla ECOFRUT Premium Bandeja 5un","https://www.plazavea.com.pe/granadilla-ecofrut-premium-bandeja-5un/p","Granadilla ECOFRUT Premium Bandeja 5un","6",".49"
"1572320083-168","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Papa, Camote, Yuca y Otros Tubérculos (10)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/papa-camote-yuca-y-otros-tuberculos?PS=24","Papa Amarilla Tumbay","https://www.plazavea.com.pe/papa-amarilla-tumbay-x-kg/p","Papa Amarilla Tumbay","5",".70"
"1572319930-142","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Verduras para Sopa Mixta LA FLORENCIA Bandeja 500g","https://www.plazavea.com.pe/verduras-para-sopa-mixta-la-florencia-bandeja-500g/p","Verduras para Sopa Mixta LA FLORENCIA Bandeja 500g","9",".50"
"1572320438-230","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Zapallo, Berenjena y Caigua (6)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/zapallo-berenjena-y-caigua?PS=24","Berenjena","https://www.plazavea.com.pe/berenjena-x-kilo/p","Berenjena","2",".89"
"1572320310-210","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Apio, Espárrago y Otros Tallos (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/apio-esparrago-y-otros-tallos?PS=24","Frijol Chino","https://www.plazavea.com.pe/frijol-chino-x-kilo/p","Frijol Chino","3",".30"
"1572320677-276","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Manzanas, Peras y Membrillos (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/manzanas-peras-y-membrillos?PS=24","Pera Packhams Importada","https://www.plazavea.com.pe/pera-packhams-importada/p","Pera Packhams Importada","6",".49"
"1572319875-128","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Ensalada Oriental VITTAFRESH Táper 270g","https://www.plazavea.com.pe/ensalada-oriental-vittafresh-taper-270g/p","Ensalada Oriental VITTAFRESH Táper 270g","8",".99"
"1572320063-163","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Papa, Camote, Yuca y Otros Tubérculos (10)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/papa-camote-yuca-y-otros-tuberculos?PS=24","Papa Blanca Yungay","https://www.plazavea.com.pe/papa-blanca-yungay/p","Papa Blanca Yungay","4",".99"
"1572320418-226","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Cebolla, Limón, Ajo y Ají (12)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/cebolla-limon-ajo-y-aji?PS=24","Limón Ácido","https://www.plazavea.com.pe/limon-acido/p","Limón Ácido","2",".59"
"1572320301-208","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Apio, Espárrago y Otros Tallos (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/apio-esparrago-y-otros-tallos?PS=24","Apio x unidad","https://www.plazavea.com.pe/apio-x-unidad/p","Apio x unidad","2",".50"
"1572320133-179","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Tomate, Pepino, Pimiento y Rocoto (7)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/tomate-pepino-pimiento-y-rocoto?PS=24","Tomate Italiano","https://www.plazavea.com.pe/tomate-italiano/p","Tomate Italiano","3",".89"
"1572320693-280","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Manzanas, Peras y Membrillos (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/manzanas-peras-y-membrillos?PS=24","Manzana Roja Importada","https://www.plazavea.com.pe/manzana-roja-importada/p","Manzana Roja Importada","5",".99"
"1572320574-260","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Fresas, Arándanos, Aguaymanto y Frutas Berries (7)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/fresas-arandanos-aguaymanto-y-frutas-berries?PS=24","Aguaymanto Pelado LA FLORENCIA Bandeja 200g","https://www.plazavea.com.pe/aguaymanto-pelado-la-florencia-bandeja-200g/p","Aguaymanto Pelado LA FLORENCIA Bandeja 200g","3",".99"
"1572320047-160","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Zanahoria, Beterraga, Rabanito y Otras Raíces (5)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/zanahoria-beterraga-rabanito-y-otras-raices?PS=24","Nabo x unidad","https://www.plazavea.com.pe/nabo-x-unidad/p","Nabo x unidad","0",".99"
"1572320096-171","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Papa, Camote, Yuca y Otros Tubérculos (10)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/papa-camote-yuca-y-otros-tuberculos?PS=24","Papa Amarilla","https://www.plazavea.com.pe/papa-amarilla-procesada/p","Papa Amarilla","4",".29"
"1572320209-194","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Lechuga, Espinaca y Hojas Verdes (19)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/lechuga-espinaca-y-hojas-verdes?PS=24","Arúgula VERDE PURO Paquete 160g","https://www.plazavea.com.pe/arugula-verde-puro-200gr/p","Arúgula VERDE PURO Paquete 160g","5",".89"
"1572319853-123","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Picadas y Preparadas (23)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-picadas-y-preparadas?PS=24","Ensalada Cesar's VITTA FRESH Paquete 250g","https://www.plazavea.com.pe/ensalada-cesars-vitta-fresh-paquete-250g/p","Ensalada Cesar's VITTA FRESH Paquete 250g","7",".90"
