name;price
Acelga LA FLORENCIA Bolsa;9.97
Aguaymanto con Capullo LA FLORENCIA Bandeja;19.95
Aguaymanto Pelado LA FLORENCIA Bandeja;19.95
Ají Mirasol LA FLORENCIA Bandeja;74.90
Ají Panca Seco LA FLORENCIA Bandeja;81.90
Ají Verde;4.99
Ajo Entero;12.99
Ajo Entero Pelado LA FLORENCIA Bandeja;39.96
Ajo Pelado COSECHA ROMERO Paquete;33.60
Albahaca x unidad;1.59
Alcachofa x unidad;1.99
Apio en Bastones VITTAFRESH Bolsa;29.50
Apio x unidad;2.50
Arúgula Hidropónica MANANTIALES Bolsa;31.27
Arúgula VERDE PURO Paquete;36.81
Arveja;5.99
Berenjena;2.89
Berros Hidropónicos VERDE PURO Táper;74.92
Beterraga x unidad;2.99
Blueberries LA FLORENCIA Bandeja;59.90
Brócoli;4.99
Caigua x unidad;0.89
Camote Amarillo Procesado;2.40
Camote Prefrito BELL'S Bolsa;20.00
Cayhua Chilena x unidad;3.50
Cebolla Blanca;1.99
Cebolla China LA FLORENCIA Bolsa;8.75
Cebolla Picada LA FLORENCIA Bandeja;34.95
Cebolla Roja;1.49
Cebollita China LÍNEA VERDE;3.50
Champiñón Crimini Picado PACCU Bandeja;32.45
Champiñón Entero LA FLORENCIA Bandeja;24.50
Champiñón Picado LA FLORENCIA Bandeja;25.50
Champiñón Portobello PACCU Bandeja;34.38
Champiñones Enteros PACCU Bandeja;29.95
Champiñones Picados PACCU Bandeja;26.50
Chirimoya Cumbe;8.99
Choclo x unidad;1.99
Coco en Trozos SOLEI Vaso;43.77
Coco Unidad;4.99
Cocona;5.99
Col Corazón;2.99
Culantro x unidad;1.50
Dátiles EL DATIL Bandeja;80.69
Ensalada Campestre VITTA FRESH Bolsa Unidad;6.99
Ensalada Cesar's VITTA FRESH Paquete;31.60
Ensalada Clásica VITTA FRESH Bolsa;20.00
Ensalada de Frutas SOLEI Bandeja;21.50
Ensalada de Piña, Sandía y Papaya SOLEI Bandeja;19.67
Ensalada Delicia VITTA FRESH Táper;24.96
Ensalada Mixta LA FLORENCIA Bandeja;18.58
Ensalada Oriental VITTAFRESH Táper;33.30
Ensalada Rusa LA FLORENCIA Bandeja;18.98
Ensalada Rusa Precocida GREEN FOOD Bolsa;18.48
Ensalada VITTAFRESH Mix col y zanahoria Bandeja;15.96
Espárrago Verde LA FLORENCIA Bolsa;22.81
Espinaca Bebé LA FLORENCIA Bolsa;35.27
Espinaca BELL'S Bolsa;9.97
Fondo de Alcachofa LA FLORENCIA Bolsa;67.96
Frambuesa Entera GREEN FOOD Bolsa;42.98
Fresa LA FLORENCIA Premium Táper;19.98
Frijol Chino;3.30
Frutos del Bosque Enteros GREEN FOOD Bolsa;31.48
Germinado / Sprouts AGE Bandeja;109.00
Germinado AGE Lenteja Bandeja;109.00
Granadilla ECOFRUT Premium Bandeja 5un;6.49
Granadilla Oxapampa x unidad;0.69
Haba Verde;3.99
Hierba Buena x unidad;1.49
Holantao;6.99
Huacatay x unidad;0.99
Kion;4.69
Lechuga Americana DELISALAD Bolsa Unidad;3.40
Lechuga Americana LA FLORENCIA Bolsa;5.97
Lechuga Americana VITTAFRESH Bolsa Unidad;3.70
Lechuga Crespa DELISALAD Bolsa;7.48
Lechuga Crespa LA FLORENCIA Bolsa;1.69
