Lúcuma Madura  TOTTUS,15.48
Ajo Entero sin Pelar  TOTTUS,13
Limón Tahití   TOTTUS,4
Aguaymanto  FRUTIFAST,23.56
Mix Berries Aguaymanto y Blueberrie  EL HUERTO,33.3
Jo Lan Tau  TOTTUS,14.9
Esparrago Verde  LA CASTELLANA,22.36
Lechuga Crespa   TOTTUS,8.3
Huacatay   TOTTUS,
Zapallo Italiano   TOTTUS,
Hierba Buena   TOTTUS,
Salad Mix Primavera   LINEA VERDE,43.45
Rabanito   TOTTUS,4.983333333
Salad Mix Personal   LINEA VERDE,57.9
Sandía Rayada  TOTTUS,1.99
Papa Rosada Canchán Procesada  TOTTUS,2.586666667
Pasta Wantan   LA PASTA,5.98
Nabo   TOTTUS,
Brocoli  TOTTUS,4.983333333
Manzana Delicia   TOTTUS,3.298245614
Pera Packhams   TOTTUS,6.483333333
Plátano de Isla   TOTTUS,
Fresas Organicas Empacadas  TOTTUS,25.43636364
Ensalada Mix Americana Personal  TOTTUS,38.38461538
Esparrago Verde  LA CASTELLANA,22.36
Aji Panca  TOTTUS,30
Olluco  TOTTUS,8.8875
Habas   TOTTUS,
Perejil   TOTTUS,
Cebolla Roja  TOTTUS,1.49
Papa Cocktail   TOTTUS,2.4875
Maíz Morado  TOTTUS,7.99
Aji Panca  TOTTUS,30
Beterraga  TOTTUS,
Champiñon Entero  TOTTUS,24.95
Pimiento Morron   TOTTUS,6
Durazno Huayco Extra Empacado   TOTTUS,14.98888889
Pepinillo   TOTTUS,3.68
Pasta Wantan   LA PASTA,5.98
Habas Verdes   TOTTUS,3.8
Aji Mirasol   TOTTUS,21.8
Blueberrie Premium  TOTTUS,23.92
Nabo   TOTTUS,
Culantro   TOTTUS,
Arveja Americana   TOTTUS,6
Ajo Entero sin Pelar  TOTTUS,13
Jo Lan Tau  TOTTUS,14.9
Tuna Verde  TOTTUS,7.985714286
Manzana Roja Importada Premium   TOTTUS,6.99
Brocoli  TOTTUS,4.983333333
Huacatay   TOTTUS,
Limón Sutil Extra  TOTTUS,2.5
Cebollita China   LINEA VERDE,15.96666667
Perejil   TOTTUS,
Apio   TOTTUS,
Ensalada Mix Americana   TOTTUS,19.54166667
Champiñon Picado  PACCU,29.95
Manzana Nacional   TOTTUS,4.590909091
Papa Amarilla Procesada   TOTTUS,4.99
Cebollita Baby  LINEA VERDE,26.76
Maracuyá  TOTTUS,2.99
Papaya Premium   TOTTUS,3.990909091
Mix Berries Aguaymanto y Blueberrie  EL HUERTO,33.3
Ensalada Personal  TOTTUS,47.78571429
Aji Amarillo  TOTTUS,4.8
Fideos Chinos  LA PASTA,6.78
Plátano de Seda Orgánico   TOTTUS,4.49
Poro   TOTTUS,
Papa Huayro Procesada   TOTTUS,4.293333333
Lechuga Americana   TOTTUS,
Toronja Rosada   TOTTUS,4
Brocoli  TOTTUS,4.983333333
Berenjena   TOTTUS,
Papa Amarilla Procesada   TOTTUS,4.99
Kión   TOTTUS,8
Naranja de Jugo Extra  TOTTUS,1.39
Manzana Granny Smith Importada   TOTTUS,7.483333333
Melón Coquito   TOTTUS,4.293333333
Aji Mirasol   TOTTUS,21.8
Manzana Roja Importada Premium   TOTTUS,6.99
Hierba Luisa   TOTTUS,
Alcachofa   TOTTUS,
Papa Peruanita Procesada   TOTTUS,5.692307692
Tuna Verde  TOTTUS,7.985714286
Cebolla Blanca   TOTTUS,1.983333333
Camote Amarillo  TOTTUS,1.5875
Fresas Empacadas  TOTTUS,14.52727273
Granadilla Premium   TOTTUS,
Champiñon Entero  PACCU,29.95
Ensalada Mix con Espinaca  TOTTUS,33.26666667
Ajos Pelados  TOTTUS,39.56
Champiñon Entero  TOTTUS,24.95
Verduras para Menestrón   TOTTUS,17.98
Champiñon Entero  PACCU,29.95
Durazno Premium  TOTTUS,11
Uva Thompson Seedless Importada   TOTTUS,10
Rabanito   TOTTUS,4.983333333
Lechuga Americana   TOTTUS,
Ensalada Mixta   TOTTUS,16.98
Pasta Wantan   SAN SEN,5.98
Aji Limo   TOTTUS,10
Frijol Chino   TOTTUS,6
Vainita Americana   TOTTUS,6
Palta Madura (Consumo en el Día)  TOTTUS,15.38333333
Aji Amarillo  TOTTUS,4.8
Choclo Serrano Selecto   TOTTUS,
Ensalada Rusa   TOTTUS,17.98
Salad Mix Primavera   LINEA VERDE,43.45
Pera Packhams   TOTTUS,6.483333333
Champiñon Entero  TOTTUS,24.95
Cebolla Roja  TOTTUS,1.49
Apio   TOTTUS,
Zanahoria   TOTTUS,1.99
