web-scraper-order,web-scraper-start-url,category,category-href,subcate,subcate-href,PRODU,PRODU-href,NAME,UNIDAD,PRECIO,PREC
"1572321646-356","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Verduras-para-Arroz-con-Pollo/41076333?navAction=jump&navCount=126","Verduras para Arroz con Pollo   
										TOTTUS","Envase x 200g","S/ 7.39",""
"1572321656-359","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ensaladas y Verduras Empacadas / Picadas","https://www.tottus.com.pe/tottus/browse/Ensaladas-y-Verduras-Empacadas-Picadas/11.02.07","","https://www.tottus.com.pe/tottus/product/TOTTUS/Rabanito/10164015?navAction=jump&navCount=126","Rabanito   
										TOTTUS","600g es aprox. 10un","S/ 2.99","(
      S/ 4.99
    /KG)"
"1572321950-433","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Frutas","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Frutas/cat1310036","Frutos Secos y Otros Snacks","https://www.tottus.com.pe/tottus/browse/Frutos-Secos-y-Otros-Snacks/cat1420019","","https://www.tottus.com.pe/tottus/product/TOTTUS/Blueberrie-Premium/41807558?navAction=jump&navCount=288","Blueberrie Premium  
										TOTTUS","Envase x 500g","S/ 11.99",""
"1572321782-391","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Papas, Camotes y otros Tubérculos","https://www.tottus.com.pe/tottus/browse/Papas,-Camotes-y-otros-Tub%C3%A9rculos/cat1260016","","https://www.tottus.com.pe/tottus/product/TOTTUS/Papa-Peruanita-Procesada/10164128?navAction=jump&navCount=198","Papa Peruanita Procesada   
										TOTTUS","1.3Kg es aprox. 5un","S/ 7.40","(
      S/ 5.69
    /KG)"
"1572321457-305","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Ver todas","https://www.tottus.com.pe/tottus/browse/Ver-todas/cat1260029","","https://www.tottus.com.pe/tottus/product/TOTTUS/Cebollita-China/10164221?navAction=jump&navCount=12","Cebollita China   
										TOTTUS","Unidad","S/ 1.99",""
"1572321586-341","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Ver Todas","https://www.tottus.com.pe/tottus/browse/Ver-Todas/cat1260023","","https://www.tottus.com.pe/tottus/product/TOTTUS/Habas/41076344?navAction=jump&navCount=82","Habas   
										TOTTUS","Envase 200 Gr","S/ 7.59",""
"1572321621-350","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Más Verduras","https://www.tottus.com.pe/tottus/browse/M%C3%A1s-Verduras/11.04","Hierbas Aromáticas / Infusiones","https://www.tottus.com.pe/tottus/browse/Hierbas-Arom%C3%A1ticas-Infusiones/cat1260022","","https://www.tottus.com.pe/tottus/product/TOTTUS/Perejil/40643100?navAction=jump&navCount=112","Perejil   
										TOTTUS","Unidad","S/ 0.79",""
"1572321439-299","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Mundo Chino","https://www.tottus.com.pe/tottus/browse/Mundo-Chino/cat1260024","Ver todas","https://www.tottus.com.pe/tottus/browse/Ver-todas/cat1260029","","https://www.tottus.com.pe/tottus/product/LA-CASTELLANA/Esparrago-Verde/40889198?navAction=jump&navCount=12","Esparrago Verde  
										LA CASTELLANA","Atado x 250g","S/ 5.59",""
"1572321859-410","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Verduras","https://www.tottus.com.pe/tottus/browse/Verduras/11.02","Brócoli, Apio y Hortalizas","https://www.tottus.com.pe/tottus/browse/Br%C3%B3coli,-Apio-y-Hortalizas/11.02.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Vainita-Americana/10162075?navAction=jump&navCount=242","Vainita Americana   
										TOTTUS","200g es aprox. 1 puñado","S/ 1.20","(
      S/ 5.99
    /KG)"
"1572322104-469","https://www.tottus.com.pe/tottus/browse/Frutas-y-Verduras/11","Frutas","https://www.tottus.com.pe/tottus/browse/Frutas/11.01","Papayas, Piñas y Tropicales","https://www.tottus.com.pe/tottus/browse/Papayas,-Pi%C3%B1as-y-Tropicales/11.01.09","","https://www.tottus.com.pe/tottus/product/TOTTUS/Pera-Packhams/10161865?navAction=jump&navCount=334","Pera Packhams   
										TOTTUS","600g es aprox. 4un","S/ 3.89","(
      S/ 6.49
    /KG)"
