Name,Precio
Acelga Verde Puro x Bolsa,18
Aguaymanto Fresco Pelado Frutas Exoticas Bandeja,27
Aji Amarillo ,7.79
Aji Mirasol Despepitado Naturandes Bandeja,86
Aji Panca Despepitado Naturandes Bandeja,86
Ajos Enteros S/Pelar ,13.79
Ajos Pelados Del Bueno Bandeja,36.76
Ajos Pelados Mr. Ajo Bandeja,46.6
Ajos Pelados Mr. Ajo Bolsa,37.2
Apricot ,59
Arillos de Granada Intipa Foods Pote,48
Arugula Fresca Verde Puro Bolsa,43.13
Arugula Organica Vitta Fresh Caja,123
Arugula Silvestre Verde Puro Bandeja,65
Arveja ,8.99
Arveja Desvainada Bolsa,33.27
Arvejas Fritas ,50
Arvejas Picantes ,54
Beterraga Organica El Almenar Bolsa,12.98
Blueberry Extra Caja,50
Blueberry Extra Wong Bandeja,48
Brocoli ,4.99
Camote Amarillo Procesado ,2.29
Camote Morado Procesado ,3.19
Carambola ,5.2
Cashews Salados ,115
Cebolla Blanca Campo Lindo ,5.29
Cebolla Blanca Organica El Almenar Bolsa,9.05
Cebolla Roja Campo Lindo ,3.19
Champiñon Entero Don Hongo Bandeja,26.45
Champiñon Picado Don Hongo Bandeja,26
Champiñon Picado Paccu Bandeja,32
Champiñones Enteros Paccu Bandeja,31.45
Champiñones enteros Wong Bandeja,30.95
Champiñones Portobello Paccu Bandeja,31.58
Chirimoya Wong ,9.99
Choclo Desgranado Mi Choclito Bolsa,21.56
Choclo Desgranado Wong Bandeja,25.31
Ciruela Importada ,20.5
Coco Fresco en Trozos Natifrut Pote,45.83
Cocona ,6.3
Datiles Frescos El Datil Bandeja,83.27
Ensalada de Frutas Natifrut Papaya Sandia y Piña Bandeja,25
Esparrago Premium La Huerta Wong Bandeja,31.55
Esparrago Verde tipo Exportacion Wong Atado,26.53
Espinaca ,4.19
Espinaca Baby Deshojada Verde Puro Bolsa,43.89
Espinaca Baby Ecologic Bolsa,23.27
Espinaca del Nono Don Miguel Bolsa,14.6
Espinaca Hidroponica de Invernadero Ecologic Bolsa,13
Espinaca Verde puro Bolsa,17.78
Espinaca Wong Bolsa,10.38
Frambuesa Siembra Peru Bandeja,82
Fresa Organica El Almenar Caja,35.11
Fresas Emporio Bandeja,26.65
Garbanzo Picante ,52
Germinado de Alfalfa Age Bandeja,129
Germinado de Brocoli Age Caja,149.9
Germinado de Rabanito Age Bandeja,129
Germinado de Trigo Age Caja,64.5
Granada ,6.99
Guindones con Pepa ,34.5
Habas ,4.49
Higos Enteros Siembra Peru bandeja,21.2
Holantao ,9.99
Holantao La Huerta Bandeja,28.5
Hongos Ostra Willka Bandeja,28.5
Kion ,6.89
Kiwi  ,12.99
